bloque,fecha,region,sucursal,categoria,n_creditos,capital,pagado,saldo_riesgo,cosecha
B1,2026-01-05,Bajío Occidente,Fresnillo,Todas,146,12619855.32,7298969.27,2236424.2300000004,0.8227916641440544
B1,2026-01-05,Bajío Occidente,Fresnillo,Individual,44,1881704.12,1372695.23,267902.16000000003,0.8576623725519609
B1,2026-01-05,Bajío Occidente,Fresnillo,Grupal,94,10032036.38,5795908.640000001,1968522.0699999998,0.8037779982612065
B1,2026-01-05,Bajío Occidente,Fresnillo,Empresarial,8,706114.8200000001,130365.4,0.0,0.9999999999999999
B1,2026-01-05,Bajío Occidente,Guadalajara,Todas,116,15914536.93,9266395.309999999,1494972.0499999998,0.9063622091830477
B1,2026-01-05,Bajío Occidente,Guadalajara,Individual,31,2268747.4799999995,1336008.26,108289.80000000002,0.9530397230457753
B1,2026-01-05,Bajío Occidente,Guadalajara,Grupal,64,11246480.440000001,6455672.05,1311019.29,0.8836971266719242
B1,2026-01-05,Bajío Occidente,Guadalajara,Empresarial,21,2399309.0099999993,1474715.0,75662.96,0.9684646372415369
B1,2026-01-05,Bajío Occidente,Irapuato,Todas,162,13296063.23,7861678.960000001,546332.76,0.9589203435218622
B1,2026-01-05,Bajío Occidente,Irapuato,Individual,66,3167259.18,1864011.2999999998,179898.38,0.9432094186873585
B1,2026-01-05,Bajío Occidente,Irapuato,Grupal,83,9047407.450000001,5811577.66,366434.38,0.959510255062073
B1,2026-01-05,Bajío Occidente,Irapuato,Empresarial,13,1081396.6,186090.0,0.0,1.0
B1,2026-01-05,Bajío Occidente,Morelia,Todas,142,11236711.120000001,6526330.7,1362884.8900000001,0.8787163507679459
B1,2026-01-05,Bajío Occidente,Morelia,Individual,45,1987568.2399999998,1244090.38,443538.28,0.7768524667107782
B1,2026-01-05,Bajío Occidente,Morelia,Grupal,78,7931544.109999999,4615420.32,641157.82,0.9191683345501813
B1,2026-01-05,Bajío Occidente,Morelia,Empresarial,19,1317598.7700000003,666820.0,278188.79,0.7888670919144831
B1,2026-01-05,Centro,Pachuca,Todas,56,3851765.14,2451125.5,625780.8400000001,0.8375763040422552
B1,2026-01-05,Centro,Pachuca,Individual,13,719020.0000000001,490197.4,118512.6,0.835174821284526
B1,2026-01-05,Centro,Pachuca,Grupal,27,2136789.42,1385459.49,328092.6,0.8464578741689951
B1,2026-01-05,Centro,Pachuca,Empresarial,16,995955.72,575468.61,179175.64,0.8202549205701635
B1,2026-01-05,Centro,San Juan del Río,Todas,112,10608121.8,6066663.0600000005,1331854.37,0.8748650350149638
B1,2026-01-05,Centro,San Juan del Río,Individual,0,0.0,0.0,0.0,
B1,2026-01-05,Centro,San Juan del Río,Grupal,111,10532408.469999999,5990946.0600000005,1331854.37,0.8739651406626467
B1,2026-01-05,Centro,San Juan del Río,Empresarial,1,75713.33,75717.0,0.0,1.0000484723099619
B1,2026-01-05,Centro,Tequisquiapan,Todas,66,6863166.289999999,4176320.67,157199.22,0.9771056807658962
B1,2026-01-05,Centro,Tequisquiapan,Individual,1,47864.0,28728.0,0.0,1.0
B1,2026-01-05,Centro,Tequisquiapan,Grupal,65,6815302.29,4147592.67,157199.22,0.9769448935184356
B1,2026-01-05,Centro,Tequisquiapan,Empresarial,0,0.0,0.0,0.0,
B1,2026-01-05,Centro,Valle de Toluca,Todas,151,20713189.5,11653866.92,5226485.890000001,0.7477084468328743
B1,2026-01-05,Centro,Valle de Toluca,Individual,13,614346.7999999999,388215.6,63237.8,0.8970666079810297
B1,2026-01-05,Centro,Valle de Toluca,Grupal,97,15748529.6,10222468.11,2922072.63,0.8144996501768649
B1,2026-01-05,Centro,Valle de Toluca,Empresarial,41,4350313.1,1043183.21,2241175.46,0.48482600022513334
B1,2026-01-05,Centro,Zinacantepec,Todas,160,13667122.64,8318248.8,1180940.4500000002,0.9155690352391539
B1,2026-01-05,Centro,Zinacantepec,Individual,16,721040.62,528205.98,71698.16,0.90057506052849
B1,2026-01-05,Centro,Zinacantepec,Grupal,75,8116568.919999999,5069382.28,655358.6699999999,0.9225778397012616
B1,2026-01-05,Centro,Zinacantepec,Empresarial,69,4829513.1,2720660.54,453883.62,0.9060284917748748
B1,2026-01-05,Suc. Digital,Salamanca,Todas,232,29004827.86,15520341.29,2089047.66,0.928013347292453
B1,2026-01-05,Suc. Digital,Salamanca,Individual,50,3063711.0300000003,1984763.25,449363.0,0.8536758964503254
B1,2026-01-05,Suc. Digital,Salamanca,Grupal,181,25862508.830000002,13531647.04,1639684.6600000001,0.9366006712350341
B1,2026-01-05,Suc. Digital,Salamanca,Empresarial,1,78608.0,3931.0,0.0,1.0
B1,2026-01-05,Península Sur,Cancún,Todas,198,18330550.800000004,10725496.71,1303218.4,0.9290959309307822
B1,2026-01-05,Península Sur,Cancún,Individual,0,0.0,0.0,0.0,
B1,2026-01-05,Península Sur,Cancún,Grupal,135,12107775.049999999,7249833.33,932111.6099999999,0.9231791071308351
B1,2026-01-05,Península Sur,Cancún,Empresarial,63,6222775.750000001,3475663.38,371106.79000000004,0.9406084093581549
B1,2026-01-05,Península Sur,Cozumel,Todas,110,9060910.17,5639678.71,471210.88,0.9480006598498262
B1,2026-01-05,Península Sur,Cozumel,Individual,22,906866.23,572059.77,44431.71,0.9510090920465746
B1,2026-01-05,Península Sur,Cozumel,Grupal,68,5926777.51,3714021.0700000003,231758.62,0.9608992222824304
B1,2026-01-05,Península Sur,Cozumel,Empresarial,20,2227266.43,1353597.8699999999,195020.55000000002,0.9124525304321135
B1,2026-01-05,Península Sur,Motul,Todas,135,9967092.68,5476318.82,655713.74,0.9342240439566175
B1,2026-01-05,Península Sur,Motul,Individual,22,817734.0,475946.27,37466.73,0.9541847960339183
B1,2026-01-05,Península Sur,Motul,Grupal,93,7874623.0,4360818.88,606294.01,0.9230205585715024
B1,2026-01-05,Península Sur,Motul,Empresarial,20,1274735.68,639553.6699999999,11953.0,0.9906283944291886
B1,2026-01-05,Península Sur,Mérida,Todas,37,2571245.74,1470250.2000000002,277241.30000000005,0.8921774353625183
B1,2026-01-05,Península Sur,Mérida,Individual,3,104544.96,64893.33,0.0,0.9999999999999999
B1,2026-01-05,Península Sur,Mérida,Grupal,31,2276284.04,1355532.87,247340.37,0.8913416007608611
B1,2026-01-05,Península Sur,Mérida,Empresarial,3,190416.74000000002,49824.0,29900.93,0.8429711064268824
B1,2026-01-05,Península Sur,Playa del Carmen,Todas,91,8710946.19,5318588.98,863746.59,0.9030201700740849
B1,2026-01-05,Península Sur,Playa del Carmen,Individual,7,373761.46,223620.81,69812.47,0.8132202555073496
B1,2026-01-05,Península Sur,Playa del Carmen,Grupal,66,6431052.25,3944816.72,323022.93,0.9526815257954094
B1,2026-01-05,Península Sur,Playa del Carmen,Empresarial,18,1906132.48,1150151.45,470911.18999999994,0.7530772729920641
B1,2026-01-05,Península Sur,Valladolid,Todas,102,6640714.740000001,4113595.6399999997,364503.10000000003,0.9451157511999979
B1,2026-01-05,Península Sur,Valladolid,Individual,9,406374.82999999996,336008.93999999994,13230.4,0.9674551694060382
B1,2026-01-05,Península Sur,Valladolid,Grupal,72,5023667.9,2946463.54,211675.49,0.9578670735778533
B1,2026-01-05,Península Sur,Valladolid,Empresarial,21,1210672.0099999998,831123.1599999999,139597.21,0.8847058420058793
B2,2026-01-19,Bajío Occidente,Fresnillo,Todas,148,12523245.24,7395478.470000001,2395390.1999999997,0.8087367679785212
B2,2026-01-19,Bajío Occidente,Fresnillo,Individual,45,1985286.5199999998,1447666.72,266022.63,0.8660379258506223
B2,2026-01-19,Bajío Occidente,Fresnillo,Grupal,91,9541168.7,5739298.35,2129367.57,0.7768320289735575
B2,2026-01-19,Bajío Occidente,Fresnillo,Empresarial,12,996790.0200000003,208513.4,0.0,0.9999999999999999
B2,2026-01-19,Bajío Occidente,Guadalajara,Todas,114,15573280.929999998,9507990.61,1438572.75,0.9077765272163495
B2,2026-01-19,Bajío Occidente,Guadalajara,Individual,28,2112773.61,1374154.0699999998,95687.13,0.9555451707861876
B2,2026-01-19,Bajío Occidente,Guadalajara,Grupal,60,10587853.25,6468353.04,1226622.73,0.8842035121708925
B2,2026-01-19,Bajío Occidente,Guadalajara,Empresarial,26,2872654.07,1665483.5,116262.89000000001,0.9595277269149223
B2,2026-01-19,Bajío Occidente,Irapuato,Todas,168,13859927.85,8203667.39,470081.47,0.966117786103771
B2,2026-01-19,Bajío Occidente,Irapuato,Individual,72,3616625.33,2096186.1800000002,191460.98,0.9471613251129887
B2,2026-01-19,Bajío Occidente,Irapuato,Grupal,80,8932726.719999999,5808625.21,278620.49,0.9688216869574177
B2,2026-01-19,Bajío Occidente,Irapuato,Empresarial,16,1310575.8,298856.0,0.0,1.0
B2,2026-01-19,Bajío Occidente,Morelia,Todas,129,10442545.73,6031017.42,1314929.17,0.8741023411347799
B2,2026-01-19,Bajío Occidente,Morelia,Individual,39,1657390.75,984133.22,421743.70999999996,0.7455492616934177
B2,2026-01-19,Bajío Occidente,Morelia,Grupal,72,7515420.21,4456023.63,653246.67,0.9131080788894438
B2,2026-01-19,Bajío Occidente,Morelia,Empresarial,18,1269734.77,590860.5700000001,239938.78999999998,0.8110326143151928
B2,2026-01-19,Centro,Pachuca,Todas,54,3858680.4500000007,2480970.6999999997,566081.44,0.853338930929095
B2,2026-01-19,Centro,Pachuca,Individual,11,630437.6,476404.4,82059.2,0.8698377127252565
B2,2026-01-19,Centro,Pachuca,Grupal,26,2133368.2,1379633.69,313720.6,0.8529485627469274
B2,2026-01-19,Centro,Pachuca,Empresarial,17,1094874.65,624932.61,170301.64,0.8445994342822715
B2,2026-01-19,Centro,San Juan del Río,Todas,105,9912896.120000001,5852059.88,1093207.1800000002,0.8901606869658187
B2,2026-01-19,Centro,San Juan del Río,Individual,0,0.0,0.0,0.0,
B2,2026-01-19,Centro,San Juan del Río,Grupal,105,9912896.120000001,5852059.88,1093207.1800000002,0.8901606869658187
B2,2026-01-19,Centro,San Juan del Río,Empresarial,0,0.0,0.0,0.0,
B2,2026-01-19,Centro,Tequisquiapan,Todas,64,6684578.699999999,4330626.44,386181.4,0.9422384779462617
B2,2026-01-19,Centro,Tequisquiapan,Individual,2,116006.0,51272.2,0.0,1.000001724048756
B2,2026-01-19,Centro,Tequisquiapan,Grupal,62,6568572.7,4279354.24,386181.4,0.941218334996886
B2,2026-01-19,Centro,Tequisquiapan,Empresarial,0,0.0,0.0,0.0,
B2,2026-01-19,Centro,Valle de Toluca,Todas,149,18838979.71,10247203.629999999,5377474.950000001,0.7146705653519704
