bloque,fecha,region,sucursal,categoria,anio_num,mes_num,mes_nombre,n_creditos,capital,pagado,saldo_riesgo,cosecha
B1,2026-01-05,Bajío Occidente,Fresnillo,Todas,2025,7,Julio,23,1772653.35,1539808.25,232881.37,0.8686460045896734
B1,2026-01-05,Bajío Occidente,Fresnillo,Todas,2025,8,Agosto,31,2742798.3599999994,2195519.35,547293.24,0.8004669180274704
B1,2026-01-05,Bajío Occidente,Fresnillo,Todas,2025,9,Septiembre,25,1952873.96,1466378.85,388553.68,0.8010462948668742
B1,2026-01-05,Bajío Occidente,Fresnillo,Todas,2025,10,Octubre,30,2150833.93,1154165.68,512894.74000000005,0.7615405202390496
B1,2026-01-05,Bajío Occidente,Fresnillo,Todas,2025,11,Noviembre,20,2048947.3599999999,681270.74,554801.2,0.7292262305850553
B1,2026-01-05,Bajío Occidente,Fresnillo,Todas,2025,12,Diciembre,16,1870547.83,261826.4,0.0,1.0
B1,2026-01-05,Bajío Occidente,Fresnillo,Todas,2026,1,Enero,1,81200.53,0.0,0.0,1.0
B1,2026-01-05,Bajío Occidente,Fresnillo,Individual,2025,7,Julio,10,454225.87,454260.94,0.0,1.0000772082840637
B1,2026-01-05,Bajío Occidente,Fresnillo,Individual,2025,8,Agosto,8,345520.52999999997,209567.73,135958.3,0.6065275773917111
B1,2026-01-05,Bajío Occidente,Fresnillo,Individual,2025,9,Septiembre,10,462007.41,365818.33999999997,46153.13,0.9001383116344389
B1,2026-01-05,Bajío Occidente,Fresnillo,Individual,2025,10,Octubre,13,518552.97000000003,296035.48000000004,85790.73000000001,0.8345728691902007
B1,2026-01-05,Bajío Occidente,Fresnillo,Individual,2025,11,Noviembre,3,101397.34,47012.740000000005,0.0,1.0
B1,2026-01-05,Bajío Occidente,Fresnillo,Grupal,2025,7,Julio,13,1318427.4799999997,1085547.31,232881.37,0.8233652032192171
B1,2026-01-05,Bajío Occidente,Fresnillo,Grupal,2025,8,Agosto,23,2397277.829999999,1985951.62,411334.94000000006,0.8284194660908372
B1,2026-01-05,Bajío Occidente,Fresnillo,Grupal,2025,9,Septiembre,15,1490866.5499999996,1100560.51,342400.55,0.7703384853594041
B1,2026-01-05,Bajío Occidente,Fresnillo,Grupal,2025,10,Octubre,17,1632280.96,858130.2,427104.01,0.7383391582292304
B1,2026-01-05,Bajío Occidente,Fresnillo,Grupal,2025,11,Noviembre,14,1696566.5499999998,562740.0,554801.2000000001,0.6729858902381403
B1,2026-01-05,Bajío Occidente,Fresnillo,Grupal,2025,12,Diciembre,12,1496617.0100000002,202979.0,0.0,0.9999999999999997
B1,2026-01-05,Bajío Occidente,Fresnillo,Empresarial,2025,11,Noviembre,3,250983.47,71518.0,0.0,1.0
B1,2026-01-05,Bajío Occidente,Fresnillo,Empresarial,2025,12,Diciembre,4,373930.82,58847.4,0.0,1.0000000000000002
B1,2026-01-05,Bajío Occidente,Fresnillo,Empresarial,2026,1,Enero,1,81200.53,0.0,0.0,1.0
B1,2026-01-05,Bajío Occidente,Guadalajara,Todas,2025,7,Julio,12,1481231.9999999998,1221160.52,264292.67,0.8244221836957345
B1,2026-01-05,Bajío Occidente,Guadalajara,Todas,2025,8,Agosto,12,2393678.4,2170526.5700000003,223182.13999999998,0.9067745149055948
B1,2026-01-05,Bajío Occidente,Guadalajara,Todas,2025,9,Septiembre,23,3077419.99,2857520.38,63746.92999999999,0.9794540686011465
B1,2026-01-05,Bajío Occidente,Guadalajara,Todas,2025,10,Octubre,28,2834081.24,1357145.84,717309.8600000001,0.7468986245433105
B1,2026-01-05,Bajío Occidente,Guadalajara,Todas,2025,11,Noviembre,21,3433871.9899999998,1280224.0,226440.45,0.9340568167190181
B1,2026-01-05,Bajío Occidente,Guadalajara,Todas,2025,12,Diciembre,20,2694253.3100000005,379818.0,0.0,1.0
B1,2026-01-05,Bajío Occidente,Guadalajara,Individual,2025,7,Julio,5,259428.27,248572.6,12602.67,0.9581554084294669
B1,2026-01-05,Bajío Occidente,Guadalajara,Individual,2025,8,Agosto,2,195717.87,190779.66,4938.2,0.974768732155117
B1,2026-01-05,Bajío Occidente,Guadalajara,Individual,2025,9,Septiembre,8,571801.73,447212.0,27677.2,0.9515996567551485
B1,2026-01-05,Bajío Occidente,Guadalajara,Individual,2025,10,Octubre,8,525426.3999999999,260281.0,63071.73,0.8799608660699196
B1,2026-01-05,Bajío Occidente,Guadalajara,Individual,2025,11,Noviembre,5,325749.47,119134.0,0.0,1.0
B1,2026-01-05,Bajío Occidente,Guadalajara,Individual,2025,12,Diciembre,3,390623.74000000005,70029.0,0.0,1.0
B1,2026-01-05,Bajío Occidente,Guadalajara,Grupal,2025,7,Julio,7,1221803.73,972587.92,251690.0,0.7960263143082726
B1,2026-01-05,Bajío Occidente,Guadalajara,Grupal,2025,8,Agosto,10,2197960.5300000003,1979746.9100000001,218243.93999999997,0.9007199551486031
B1,2026-01-05,Bajío Occidente,Guadalajara,Grupal,2025,9,Septiembre,12,1591845.98,1496536.22,36069.729999999996,0.977665590486336
B1,2026-01-05,Bajío Occidente,Guadalajara,Grupal,2025,10,Octubre,14,1613007.3800000001,731116.0,578575.17,0.6413065574442691
B1,2026-01-05,Bajío Occidente,Guadalajara,Grupal,2025,11,Noviembre,9,2657799.11,1011576.0,226440.44999999998,0.9148015178618973
