sucursal,mes,n_creditos,monto_colocado,cosecha_pct,metaliado
Cancún,2026-02,35,3096003.72,86.7,Nacional
Cancún,2026-03,35,2980895.85,79.7,Nacional
Cancún,2026-04,32,2635561.16,82.2,Nacional
Cancún,2026-05,35,3195453.2,85.5,Nacional
Cancún,2026-06,32,3465769.17,94.8,Nacional
Cancún,2026-07,13,1284100.58,100.0,Nacional
Cozumel,2026-02,17,1547970.89,93.0,Nacional
Cozumel,2026-03,19,1392582.3,90.6,Nacional
Cozumel,2026-04,22,2011101.99,82.5,Nacional
Cozumel,2026-05,16,1288768.95,85.7,Nacional
Cozumel,2026-06,18,1442390.49,97.9,Nacional
Cozumel,2026-07,6,535690.3,100.0,Nacional
Fresnillo,2026-02,26,2056929.21,83.3,Nacional
Fresnillo,2026-03,18,2105961.72,89.7,Nacional
Fresnillo,2026-04,23,1929980.95,50.9,Nacional
Fresnillo,2026-05,18,1434535.36,88.0,Nacional
Fresnillo,2026-06,23,1888779.79,100.0,Nacional
Fresnillo,2026-07,5,567813.43,100.0,Nacional
Guadalajara,2026-02,19,1910408.35,69.7,Nacional
Guadalajara,2026-03,23,3636815.86,61.0,Nacional
Guadalajara,2026-04,19,1901217.76,80.8,Nacional
Guadalajara,2026-05,20,1805360.88,88.8,Nacional
Guadalajara,2026-06,10,1409375.9,91.2,Nacional
Guadalajara,2026-07,5,462223.03,100.0,Nacional
Irapuato,2026-02,17,1685477.33,98.1,Nacional
Irapuato,2026-03,30,2710213.55,87.0,Nacional
Irapuato,2026-04,27,2642932.21,92.1,Nacional
Irapuato,2026-05,23,1716713.95,97.7,Nacional
Irapuato,2026-06,27,2434757.23,95.9,Nacional
Irapuato,2026-07,20,1984078.14,100.0,Nacional
Morelia,2026-02,18,1743524.16,93.2,Nacional
Morelia,2026-03,22,1900446.32,73.9,Nacional
Morelia,2026-04,25,2253249.2,80.1,Nacional
Morelia,2026-05,21,1827412.87,95.5,Nacional
Morelia,2026-06,9,743132.54,93.9,Nacional
Morelia,2026-07,11,1022495.74,100.0,Nacional
Motul,2026-02,17,1284450.78,90.9,Nacional
Motul,2026-03,23,1619630.72,85.2,Nacional
Motul,2026-04,32,2155495.46,85.5,Nacional
Motul,2026-05,20,1362424.97,100.0,Nacional
Motul,2026-06,27,1896911.72,97.8,Nacional
Motul,2026-07,8,451580.21,100.0,Nacional
Mérida,2026-02,14,980761.81,96.0,Nacional
Mérida,2026-03,9,617624.55,67.9,Nacional
Mérida,2026-04,11,815843.15,64.5,Nacional
Mérida,2026-05,12,868423.25,62.4,Nacional
Mérida,2026-06,10,687700.69,78.4,Nacional
Mérida,2026-07,4,246890.98,100.0,Nacional
Pachuca,2026-02,8,686602.35,97.7,Nacional
Pachuca,2026-03,12,913077.96,88.1,Nacional
Pachuca,2026-04,13,1027653.49,83.2,Nacional
Pachuca,2026-05,8,672371.19,91.8,Nacional
Pachuca,2026-06,13,1302280.05,87.2,Nacional
Pachuca,2026-07,7,363069.75,100.0,Nacional
Playa del Carmen,2026-02,17,1295791.46,87.8,Nacional
Playa del Carmen,2026-03,19,1710203.37,93.7,Nacional
Playa del Carmen,2026-04,17,1419681.38,84.3,Nacional
Playa del Carmen,2026-05,13,1112814.18,82.4,Nacional
Playa del Carmen,2026-06,13,1107379.95,85.6,Nacional
Playa del Carmen,2026-07,8,663539.52,100.0,Nacional
Salamanca,2026-02,40,5219277.66,90.8,Nacional
Salamanca,2026-03,39,5784739.5,91.9,Nacional
Salamanca,2026-04,43,5424572.62,94.5,Nacional
Salamanca,2026-05,46,6113984.23,88.9,Nacional
Salamanca,2026-06,40,5858181.69,91.7,Nacional
Salamanca,2026-07,16,2027183.83,100.0,Nacional
San Juan del Río,2026-02,13,1131927.79,83.8,Nacional
San Juan del Río,2026-03,20,1867036.16,92.9,Nacional
San Juan del Río,2026-04,13,1214860.8,92.6,Nacional
San Juan del Río,2026-05,15,1348805.13,100.0,Nacional
San Juan del Río,2026-06,17,1533628.69,100.0,Nacional
San Juan del Río,2026-07,7,510943.36,100.0,Nacional
Tequisquiapan,2026-02,12,1109136.76,94.9,Nacional
Tequisquiapan,2026-03,13,1562757.65,85.1,Nacional
Tequisquiapan,2026-04,5,403786.24,91.0,Nacional
Tequisquiapan,2026-05,10,685515.18,87.4,Nacional
Tequisquiapan,2026-06,9,1001042.66,100.0,Nacional
Tequisquiapan,2026-07,8,783879.79,100.0,Nacional
Valladolid,2026-02,23,1726380.99,95.7,Nacional
Valladolid,2026-03,20,1428383.88,87.2,Nacional
Valladolid,2026-04,15,901245.33,66.6,Nacional
Valladolid,2026-05,22,1440551.66,69.5,Nacional
Valladolid,2026-06,17,1140264.53,100.0,Nacional
Valladolid,2026-07,6,429046.08,100.0,Nacional
Valle de Toluca,2026-02,29,2361501.89,92.6,Nacional
